,,,,,,,,,,,Session1,,Session2,,Session3,,Session4,,Session5,,Session6,,Session7,,Session8,
RowLabels,Capacity withot Buffer,Capacity,ME  ,EC  ,EE  ,CE  ,CS  ,OT1,OT2,OT3,ME1,EC1,ME2,EC2,ME3,OT1,EC3,OT2,CE1,CS1,CE2,CS2,EE1,,EE2,OT3
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
GrandTotal,212364,235960,234728,183148,146299,138143,131795,43341,36198,57039,106182,106182,106182,106182,22364,,-29216,,,,,,,,,
